"","treatment","jar_id","day","jar_count","replicate","count"
"1708","14C",2,14,306,22,17
"1709","14C",2,1,663,23,46
"1710","20C",2,1,667,23,44
"1711","20C",2,3,411,23,29
"1712","14C",2,3,561,23,34
"1713","20C",2,5,786,23,47
"1714","14C",2,5,651,23,34
"1715","20C",2,7,611,23,27
"1716","14C",2,7,374,23,26
"1717","20C",2,10,478,23,33
"1718","14C",2,10,220,23,20
"1719","20C",2,12,503,23,25
"1720","14C",2,12,662,23,32
"1721","20C",2,14,546,23,36
"1722","14C",2,14,352,23,17
"1723","14C",2,1,735,24,46
"1724","20C",2,1,761,24,44
"1725","20C",2,3,495,24,29
"1726","14C",2,3,474,24,34
"1727","20C",2,5,839,24,47
"1728","14C",2,5,572,24,34
"1729","20C",2,7,273,24,27
"1730","14C",2,7,442,24,26
"1731","20C",2,10,606,24,33
"1732","14C",2,10,232,24,20
"1733","20C",2,12,367,24,25
"1734","14C",2,12,622,24,32
"1735","20C",2,14,725,24,36
"1736","14C",2,14,284,24,17
"1737","14C",2,1,939,25,46
"1738","20C",2,1,829,25,44
"1739","20C",2,3,556,25,29
"1740","14C",2,3,443,25,34
"1741","20C",2,5,629,25,47
"1742","14C",2,5,556,25,34
"1743","20C",2,7,426,25,27
"1744","14C",2,7,449,25,26
"1745","20C",2,10,417,25,33
"1746","14C",2,10,353,25,20
"1747","20C",2,12,507,25,25
"1748","14C",2,12,592,25,32
"1749","20C",2,14,579,25,36
"1750","14C",2,14,482,25,17
"1751","14C",2,1,605,26,46
"1752","20C",2,1,965,26,44
"1753","20C",2,3,455,26,29
"1754","14C",2,3,565,26,34
"1755","20C",2,5,855,26,47
"1756","14C",2,5,414,26,34
"1757","20C",2,7,400,26,27
"1758","14C",2,7,470,26,26
"1759","20C",2,10,793,26,33
"1760","14C",2,10,530,26,20
"1761","20C",2,12,327,26,25
"1762","14C",2,12,448,26,32
"1763","20C",2,14,466,26,36
"1764","14C",2,14,330,26,17
"1765","14C",2,1,845,27,46
"1766","20C",2,1,759,27,44
"1767","20C",2,3,481,27,29
"1768","14C",2,3,601,27,34
"1769","20C",2,5,954,27,47
"1770","14C",2,5,750,27,34
"1771","20C",2,7,372,27,27
"1772","14C",2,7,415,27,26
"1773","20C",2,10,668,27,33
"1774","14C",2,10,360,27,20
"1775","20C",2,12,544,27,25
"1776","14C",2,12,560,27,32
"1777","20C",2,14,567,27,36
"1778","14C",2,14,240,27,17
"1779","14C",2,1,900,28,46
"1780","20C",2,1,757,28,44
"1781","20C",2,3,529,28,29
"1782","14C",2,3,510,28,34
"1783","20C",2,5,823,28,47
"1784","14C",2,5,632,28,34
"1785","20C",2,7,412,28,27
"1786","14C",2,7,536,28,26
"1787","20C",2,10,470,28,33
"1788","14C",2,10,368,28,20
"1789","20C",2,12,382,28,25
"1790","14C",2,12,523,28,32
"1791","20C",2,14,561,28,36
"1792","14C",2,14,386,28,17
"1793","14C",2,1,591,29,46
"1794","20C",2,1,732,29,44
"1795","20C",2,3,536,29,29
"1796","14C",2,3,639,29,34
"1797","20C",2,5,875,29,47
"1798","14C",2,5,532,29,34
"1799","20C",2,7,565,29,27
"1800","14C",2,7,471,29,26
"1801","20C",2,10,593,29,33
"1802","14C",2,10,366,29,20
"1803","20C",2,12,425,29,25
"1804","14C",2,12,670,29,32
"1805","20C",2,14,606,29,36
"1806","14C",2,14,273,29,17
"1807","14C",2,1,654,30,46
"1808","20C",2,1,930,30,44
"1809","20C",2,3,463,30,29
"1810","14C",2,3,591,30,34
"1811","20C",2,5,845,30,47
"1812","14C",2,5,643,30,34
"1813","20C",2,7,554,30,27
"1814","14C",2,7,452,30,26
"1815","20C",2,10,517,30,33
"1816","14C",2,10,430,30,20
"1817","20C",2,12,398,30,25
"1818","14C",2,12,494,30,32
"1819","20C",2,14,788,30,36
"1820","14C",2,14,318,30,17
"1821","14C",2,1,979,31,46
"1822","20C",2,1,999,31,44
"1823","20C",2,3,431,31,29
"1824","14C",2,3,843,31,34
"1825","20C",2,5,846,31,47
"1826","14C",2,5,733,31,34
"1827","20C",2,7,454,31,27
"1828","14C",2,7,431,31,26
"1829","20C",2,10,589,31,33
"1830","14C",2,10,670,31,20
"1831","20C",2,12,442,31,25
"1832","14C",2,12,389,31,32
"1833","20C",2,14,599,31,36
"1834","14C",2,14,224,31,17
"1835","14C",2,1,695,32,46
"1836","20C",2,1,615,32,44
"1837","20C",2,3,768,32,29
"1838","14C",2,3,714,32,34
"1839","20C",2,5,693,32,47
"1840","14C",2,5,742,32,34
"1841","20C",2,7,401,32,27
"1842","14C",2,7,441,32,26
"1843","20C",2,10,503,32,33
"1844","14C",2,10,353,32,20
"1845","20C",2,12,399,32,25
"1846","14C",2,12,399,32,32
"1847","20C",2,14,590,32,36
"1848","14C",2,14,324,32,17
"1849","14C",2,1,796,33,46
"1850","20C",2,1,632,33,44
"1851","20C",2,3,473,33,29
"1852","14C",2,3,588,33,34
"1853","20C",2,5,597,33,47
"1854","14C",2,5,642,33,34
"1855","20C",2,7,477,33,27
"1856","14C",2,7,379,33,26
"1857","20C",2,10,435,33,33
"1858","14C",2,10,326,33,20
"1859","20C",2,12,492,33,25
"1860","14C",2,12,678,33,32
"1861","20C",2,14,393,33,36
"1862","14C",2,14,338,33,17
"1863","14C",2,1,830,34,46
"1864","20C",2,1,755,34,44
"1865","20C",2,3,468,34,29
"1866","14C",2,3,452,34,34
"1867","20C",2,5,977,34,47
"1868","14C",2,5,647,34,34
"1869","20C",2,7,550,34,27
"1870","14C",2,7,403,34,26
"1871","20C",2,10,624,34,33
"1872","14C",2,10,305,34,20
"1873","20C",2,12,309,34,25
"1874","14C",2,12,397,34,32
"1875","20C",2,14,533,34,36
"1876","14C",2,14,328,34,17
"1877","14C",2,1,707,35,46
"1878","20C",2,1,847,35,44
"1879","20C",2,3,449,35,29
"1880","14C",2,3,533,35,34
"1881","20C",2,5,760,35,47
"1882","14C",2,5,758,35,34
"1883","20C",2,7,259,35,27
"1884","14C",2,7,414,35,26
"1885","20C",2,10,514,35,33
"1886","14C",2,10,278,35,20
"1887","20C",2,12,463,35,25
"1888","14C",2,12,685,35,32
"1889","20C",2,14,593,35,36
"1890","14C",2,14,365,35,17
"1891","14C",2,1,835,36,46
"1892","20C",2,1,764,36,44
"1893","20C",2,3,456,36,29
"1894","14C",2,3,658,36,34
"1895","20C",2,5,792,36,47
"1896","14C",2,5,494,36,34
"1897","20C",2,7,343,36,27
"1898","14C",2,7,444,36,26
"1899","20C",2,10,671,36,33
"1900","14C",2,10,305,36,20
"1901","20C",2,12,421,36,25
"1902","14C",2,12,499,36,32
"1903","20C",2,14,614,36,36
"1904","14C",2,14,221,36,17
"1905","14C",2,1,802,37,46
"1906","20C",2,1,855,37,44
"1907","20C",2,3,495,37,29
"1908","14C",2,3,508,37,34
"1909","20C",2,5,693,37,47
"1910","14C",2,5,563,37,34
"1911","20C",2,7,595,37,27
"1912","14C",2,7,374,37,26
"1913","20C",2,10,796,37,33
"1914","14C",2,10,332,37,20
"1915","20C",2,12,417,37,25
"1916","14C",2,12,531,37,32
"1917","20C",2,14,533,37,36
"1918","14C",2,14,233,37,17
"1919","14C",2,1,807,38,46
"1920","20C",2,1,566,38,44
"1921","20C",2,3,424,38,29
"1922","14C",2,3,764,38,34
"1923","20C",2,5,733,38,47
"1924","14C",2,5,552,38,34
"1925","20C",2,7,383,38,27
"1926","14C",2,7,447,38,26
"1927","20C",2,10,440,38,33
"1928","14C",2,10,339,38,20
"1929","20C",2,12,724,38,25
"1930","14C",2,12,533,38,32
"1931","20C",2,14,607,38,36
"1932","14C",2,14,321,38,17
"1933","14C",2,1,923,39,46
"1934","20C",2,1,838,39,44
"1935","20C",2,3,592,39,29
"1936","14C",2,3,498,39,34
"1937","20C",2,5,800,39,47
"1938","14C",2,5,478,39,34
"1939","20C",2,7,546,39,27
"1940","14C",2,7,274,39,26
"1941","20C",2,10,546,39,33
"1942","14C",2,10,508,39,20
"1943","20C",2,12,463,39,25
"1944","14C",2,12,538,39,32
"1945","20C",2,14,486,39,36
"1946","14C",2,14,319,39,17
"1947","14C",2,1,803,40,46
"1948","20C",2,1,645,40,44
"1949","20C",2,3,446,40,29
"1950","14C",2,3,564,40,34
"1951","20C",2,5,717,40,47
"1952","14C",2,5,530,40,34
"1953","20C",2,7,464,40,27
"1954","14C",2,7,419,40,26
"1955","20C",2,10,552,40,33
"1956","14C",2,10,472,40,20
"1957","20C",2,12,486,40,25
"1958","14C",2,12,619,40,32
"1959","20C",2,14,612,40,36
"1960","14C",2,14,186,40,17
"1961","14C",2,1,699,41,46
"1962","20C",2,1,730,41,44
"1963","20C",2,3,540,41,29
"1964","14C",2,3,385,41,34
"1965","20C",2,5,792,41,47
"1966","14C",2,5,472,41,34
"1967","20C",2,7,368,41,27
"1968","14C",2,7,529,41,26
"1969","20C",2,10,530,41,33
"1970","14C",2,10,402,41,20
"1971","20C",2,12,447,41,25
"1972","14C",2,12,572,41,32
"1973","20C",2,14,544,41,36
"1974","14C",2,14,215,41,17
"1975","14C",2,1,730,42,46
"1976","20C",2,1,757,42,44
"1977","20C",2,3,522,42,29
"1978","14C",2,3,636,42,34
"1979","20C",2,5,844,42,47
"1980","14C",2,5,595,42,34
"1981","20C",2,7,397,42,27
"1982","14C",2,7,476,42,26
"1983","20C",2,10,574,42,33
"1984","14C",2,10,386,42,20
"1985","20C",2,12,413,42,25
"1986","14C",2,12,545,42,32
"1987","20C",2,14,509,42,36
"1988","14C",2,14,254,42,17
"1989","14C",2,1,819,43,46
"1990","20C",2,1,875,43,44
"1991","20C",2,3,427,43,29
"1992","14C",2,3,765,43,34
"1993","20C",2,5,842,43,47
"1994","14C",2,5,648,43,34
"1995","20C",2,7,483,43,27
"1996","14C",2,7,444,43,26
"1997","20C",2,10,513,43,33
"1998","14C",2,10,261,43,20
"1999","20C",2,12,432,43,25
"2000","14C",2,12,523,43,32
"2001","20C",2,14,593,43,36
"2002","14C",2,14,256,43,17
"2003","14C",2,1,765,44,46
"2004","20C",2,1,601,44,44
"2005","20C",2,3,588,44,29
"2006","14C",2,3,671,44,34
"2007","20C",2,5,728,44,47
"2008","14C",2,5,431,44,34
"2009","20C",2,7,551,44,27
"2010","14C",2,7,469,44,26
"2011","20C",2,10,609,44,33
"2012","14C",2,10,279,44,20
"2013","20C",2,12,371,44,25
"2014","14C",2,12,655,44,32
"2015","20C",2,14,559,44,36
"2016","14C",2,14,276,44,17
"2017","14C",2,1,905,45,46
"2018","20C",2,1,844,45,44
"2019","20C",2,3,468,45,29
"2020","14C",2,3,559,45,34
"2021","20C",2,5,726,45,47
"2022","14C",2,5,672,45,34
"2023","20C",2,7,571,45,27
"2024","14C",2,7,407,45,26
"2025","20C",2,10,620,45,33
"2026","14C",2,10,197,45,20
"2027","20C",2,12,383,45,25
"2028","14C",2,12,684,45,32
"2029","20C",2,14,768,45,36
"2030","14C",2,14,420,45,17
"2031","14C",2,1,901,46,46
"2032","20C",2,1,578,46,44
"2033","20C",2,3,575,46,29
"2034","14C",2,3,437,46,34
"2035","20C",2,5,842,46,47
"2036","14C",2,5,550,46,34
"2037","20C",2,7,515,46,27
"2038","14C",2,7,434,46,26
"2039","20C",2,10,653,46,33
"2040","14C",2,10,358,46,20
"2041","20C",2,12,403,46,25
"2042","14C",2,12,659,46,32
"2043","20C",2,14,934,46,36
"2044","14C",2,14,262,46,17
"2045","14C",2,1,735,47,46
"2046","20C",2,1,732,47,44
"2047","20C",2,3,447,47,29
"2048","14C",2,3,710,47,34
"2049","20C",2,5,849,47,47
"2050","14C",2,5,499,47,34
"2051","20C",2,7,494,47,27
"2052","14C",2,7,399,47,26
"2053","20C",2,10,431,47,33
"2054","14C",2,10,286,47,20
"2055","20C",2,12,414,47,25
"2056","14C",2,12,608,47,32
"2057","20C",2,14,720,47,36
"2058","14C",2,14,258,47,17
"2059","14C",2,1,1033,48,46
"2060","20C",2,1,711,48,44
"2061","20C",2,3,449,48,29
"2062","14C",2,3,412,48,34
"2063","20C",2,5,856,48,47
"2064","14C",2,5,624,48,34
"2065","20C",2,7,517,48,27
"2066","14C",2,7,539,48,26
"2067","20C",2,10,557,48,33
"2068","14C",2,10,302,48,20
"2069","20C",2,12,431,48,25
"2070","14C",2,12,623,48,32
"2071","20C",2,14,512,48,36
"2072","14C",2,14,261,48,17
"2073","14C",2,1,893,49,46
"2074","20C",2,1,718,49,44
"2075","20C",2,3,565,49,29
"2076","14C",2,3,803,49,34
"2077","20C",2,5,773,49,47
"2078","14C",2,5,616,49,34
"2079","20C",2,7,464,49,27
"2080","14C",2,7,492,49,26
"2081","20C",2,10,426,49,33
"2082","14C",2,10,395,49,20
"2083","20C",2,12,531,49,25
"2084","14C",2,12,615,49,32
"2085","20C",2,14,535,49,36
"2086","14C",2,14,313,49,17
"2087","14C",2,1,681,50,46
"2088","20C",2,1,782,50,44
"2089","20C",2,3,348,50,29
"2090","14C",2,3,692,50,34
"2091","20C",2,5,936,50,47
"2092","14C",2,5,555,50,34
"2093","20C",2,7,532,50,27
"2094","14C",2,7,396,50,26
"2095","20C",2,10,623,50,33
"2096","14C",2,10,318,50,20
"2097","20C",2,12,443,50,25
"2098","14C",2,12,513,50,32
"2099","20C",2,14,710,50,36
"2100","14C",2,14,203,50,17
"2101","14C",2,1,696,51,46
"2102","20C",2,1,630,51,44
"2103","20C",2,3,423,51,29
"2104","14C",2,3,695,51,34
"2105","20C",2,5,936,51,47
"2106","14C",2,5,512,51,34
"2107","20C",2,7,418,51,27
"2108","14C",2,7,402,51,26
"2109","20C",2,10,639,51,33
"2110","14C",2,10,286,51,20
"2111","20C",2,12,534,51,25
"2112","14C",2,12,377,51,32
"2113","20C",2,14,589,51,36
"2114","14C",2,14,334,51,17
"2115","14C",2,1,689,52,46
"2116","20C",2,1,649,52,44
"2117","20C",2,3,463,52,29
"2118","14C",2,3,515,52,34
"2119","20C",2,5,831,52,47
"2120","14C",2,5,627,52,34
"2121","20C",2,7,452,52,27
"2122","14C",2,7,415,52,26
"2123","20C",2,10,616,52,33
"2124","14C",2,10,284,52,20
"2125","20C",2,12,501,52,25
"2126","14C",2,12,500,52,32
"2127","20C",2,14,501,52,36
"2128","14C",2,14,208,52,17
"2129","14C",2,1,1045,53,46
"2130","20C",2,1,771,53,44
"2131","20C",2,3,477,53,29
"2132","14C",2,3,636,53,34
"2133","20C",2,5,769,53,47
"2134","14C",2,5,710,53,34
"2135","20C",2,7,439,53,27
"2136","14C",2,7,405,53,26
"2137","20C",2,10,585,53,33
"2138","14C",2,10,267,53,20
"2139","20C",2,12,542,53,25
"2140","14C",2,12,666,53,32
"2141","20C",2,14,584,53,36
"2142","14C",2,14,235,53,17
"2143","14C",2,1,675,54,46
"2144","20C",2,1,836,54,44
"2145","20C",2,3,351,54,29
"2146","14C",2,3,609,54,34
"2147","20C",2,5,628,54,47
"2148","14C",2,5,510,54,34
"2149","20C",2,7,452,54,27
"2150","14C",2,7,407,54,26
"2151","20C",2,10,697,54,33
"2152","14C",2,10,434,54,20
"2153","20C",2,12,431,54,25
"2154","14C",2,12,597,54,32
"2155","20C",2,14,426,54,36
"2156","14C",2,14,306,54,17
"2157","14C",2,1,1063,55,46
"2158","20C",2,1,956,55,44
"2159","20C",2,3,354,55,29
"2160","14C",2,3,496,55,34
"2161","20C",2,5,913,55,47
"2162","14C",2,5,370,55,34
"2163","20C",2,7,581,55,27
"2164","14C",2,7,380,55,26
"2165","20C",2,10,593,55,33
"2166","14C",2,10,432,55,20
"2167","20C",2,12,375,55,25
"2168","14C",2,12,481,55,32
"2169","20C",2,14,478,55,36
"2170","14C",2,14,392,55,17
"2171","14C",2,1,660,56,46
"2172","20C",2,1,973,56,44
"2173","20C",2,3,441,56,29
"2174","14C",2,3,631,56,34
"2175","20C",2,5,671,56,47
"2176","14C",2,5,657,56,34
"2177","20C",2,7,431,56,27
"2178","14C",2,7,366,56,26
"2179","20C",2,10,518,56,33
"2180","14C",2,10,318,56,20
"2181","20C",2,12,486,56,25
"2182","14C",2,12,487,56,32
"2183","20C",2,14,652,56,36
"2184","14C",2,14,237,56,17
"2185","14C",2,1,722,57,46
"2186","20C",2,1,964,57,44
"2187","20C",2,3,438,57,29
"2188","14C",2,3,568,57,34
"2189","20C",2,5,826,57,47
"2190","14C",2,5,571,57,34
"2191","20C",2,7,584,57,27
"2192","14C",2,7,420,57,26
"2193","20C",2,10,578,57,33
"2194","14C",2,10,291,57,20
"2195","20C",2,12,466,57,25
"2196","14C",2,12,421,57,32
"2197","20C",2,14,592,57,36
"2198","14C",2,14,311,57,17
"2199","14C",2,1,671,58,46
"2200","20C",2,1,855,58,44
"2201","20C",2,3,565,58,29
"2202","14C",2,3,603,58,34
"2203","20C",2,5,838,58,47
"2204","14C",2,5,490,58,34
"2205","20C",2,7,408,58,27
"2206","14C",2,7,421,58,26
"2207","20C",2,10,567,58,33
"2208","14C",2,10,324,58,20
"2209","20C",2,12,347,58,25
"2210","14C",2,12,593,58,32
"2211","20C",2,14,539,58,36
"2212","14C",2,14,343,58,17
"2213","14C",2,1,976,59,46
"2214","20C",2,1,809,59,44
"2215","20C",2,3,516,59,29
"2216","14C",2,3,482,59,34
"2217","20C",2,5,736,59,47
"2218","14C",2,5,597,59,34
"2219","20C",2,7,487,59,27
"2220","14C",2,7,420,59,26
"2221","20C",2,10,505,59,33
"2222","14C",2,10,401,59,20
"2223","20C",2,12,481,59,25
"2224","14C",2,12,464,59,32
"2225","20C",2,14,595,59,36
"2226","14C",2,14,247,59,17
"2227","14C",2,1,929,60,46
"2228","20C",2,1,834,60,44
"2229","20C",2,3,494,60,29
"2230","14C",2,3,510,60,34
"2231","20C",2,5,732,60,47
"2232","14C",2,5,447,60,34
"2233","20C",2,7,376,60,27
"2234","14C",2,7,766,60,26
"2235","20C",2,10,642,60,33
"2236","14C",2,10,403,60,20
"2237","20C",2,12,493,60,25
"2238","14C",2,12,651,60,32
"2239","20C",2,14,606,60,36
"2240","14C",2,14,394,60,17
"2241","14C",2,1,1001,61,46
"2242","20C",2,1,779,61,44
"2243","20C",2,3,594,61,29
"2244","14C",2,3,571,61,34
"2245","20C",2,5,677,61,47
"2246","14C",2,5,516,61,34
"2247","20C",2,7,516,61,27
"2248","14C",2,7,280,61,26
"2249","20C",2,10,732,61,33
"2250","14C",2,10,275,61,20
"2251","20C",2,12,473,61,25
"2252","14C",2,12,459,61,32
"2253","20C",2,14,603,61,36
"2254","14C",2,14,296,61,17
"2255","14C",2,1,746,62,46
"2256","20C",2,1,625,62,44
"2257","20C",2,3,643,62,29
"2258","14C",2,3,432,62,34
"2259","20C",2,5,745,62,47
"2260","14C",2,5,462,62,34
"2261","20C",2,7,530,62,27
"2262","14C",2,7,467,62,26
"2263","20C",2,10,576,62,33
"2264","14C",2,10,424,62,20
"2265","20C",2,12,281,62,25
"2266","14C",2,12,493,62,32
"2267","20C",2,14,503,62,36
"2268","14C",2,14,337,62,17
"2269","14C",2,1,891,63,46
"2270","20C",2,1,722,63,44
"2271","20C",2,3,349,63,29
"2272","14C",2,3,608,63,34
"2273","20C",2,5,765,63,47
"2274","14C",2,5,566,63,34
"2275","20C",2,7,474,63,27
"2276","14C",2,7,362,63,26
"2277","20C",2,10,909,63,33
"2278","14C",2,10,433,63,20
"2279","20C",2,12,343,63,25
"2280","14C",2,12,600,63,32
"2281","20C",2,14,652,63,36
"2282","14C",2,14,148,63,17
"2283","14C",2,1,690,64,46
"2284","20C",2,1,593,64,44
"2285","20C",2,3,496,64,29
"2286","14C",2,3,507,64,34
"2287","20C",2,5,953,64,47
"2288","14C",2,5,544,64,34
"2289","20C",2,7,409,64,27
"2290","14C",2,7,303,64,26
"2291","20C",2,10,460,64,33
"2292","14C",2,10,332,64,20
"2293","20C",2,12,350,64,25
"2294","14C",2,12,569,64,32
"2295","20C",2,14,615,64,36
"2296","14C",2,14,251,64,17
"2297","14C",2,1,743,65,46
"2298","20C",2,1,630,65,44
"2299","20C",2,3,502,65,29
"2300","14C",2,3,717,65,34
"2301","20C",2,5,685,65,47
"2302","14C",2,5,609,65,34
"2303","20C",2,7,600,65,27
"2304","14C",2,7,553,65,26
"2305","20C",2,10,499,65,33
"2306","14C",2,10,383,65,20
"2307","20C",2,12,363,65,25
"2308","14C",2,12,650,65,32
"2309","20C",2,14,490,65,36
"2310","14C",2,14,281,65,17
"2311","14C",2,1,713,66,46
"2312","20C",2,1,675,66,44
"2313","20C",2,3,520,66,29
"2314","14C",2,3,524,66,34
"2315","20C",2,5,763,66,47
"2316","14C",2,5,633,66,34
"2317","20C",2,7,421,66,27
"2318","14C",2,7,445,66,26
"2319","20C",2,10,591,66,33
"2320","14C",2,10,209,66,20
"2321","20C",2,12,435,66,25
"2322","14C",2,12,394,66,32
"2323","20C",2,14,592,66,36
"2324","14C",2,14,326,66,17
"2325","14C",2,1,747,67,46
"2326","20C",2,1,912,67,44
"2327","20C",2,3,455,67,29
"2328","14C",2,3,550,67,34
"2329","20C",2,5,767,67,47
"2330","14C",2,5,663,67,34
"2331","20C",2,7,398,67,27
"2332","14C",2,7,332,67,26
"2333","20C",2,10,534,67,33
"2334","14C",2,10,404,67,20
"2335","20C",2,12,469,67,25
"2336","14C",2,12,465,67,32
"2337","20C",2,14,710,67,36
"2338","14C",2,14,384,67,17
"2339","14C",2,1,879,68,46
"2340","20C",2,1,806,68,44
"2341","20C",2,3,364,68,29
"2342","14C",2,3,483,68,34
"2343","20C",2,5,817,68,47
"2344","14C",2,5,621,68,34
"2345","20C",2,7,521,68,27
"2346","14C",2,7,373,68,26
"2347","20C",2,10,512,68,33
"2348","14C",2,10,453,68,20
"2349","20C",2,12,493,68,25
"2350","14C",2,12,597,68,32
"2351","20C",2,14,616,68,36
"2352","14C",2,14,352,68,17
"2353","14C",2,1,829,69,46
"2354","20C",2,1,712,69,44
"2355","20C",2,3,528,69,29
"2356","14C",2,3,622,69,34
"2357","20C",2,5,626,69,47
"2358","14C",2,5,561,69,34
"2359","20C",2,7,422,69,27
"2360","14C",2,7,483,69,26
"2361","20C",2,10,669,69,33
"2362","14C",2,10,302,69,20
"2363","20C",2,12,393,69,25
"2364","14C",2,12,541,69,32
"2365","20C",2,14,553,69,36
"2366","14C",2,14,235,69,17
"2367","14C",2,1,746,70,46
"2368","20C",2,1,818,70,44
"2369","20C",2,3,426,70,29
"2370","14C",2,3,741,70,34
"2371","20C",2,5,998,70,47
"2372","14C",2,5,494,70,34
"2373","20C",2,7,475,70,27
"2374","14C",2,7,506,70,26
"2375","20C",2,10,553,70,33
"2376","14C",2,10,424,70,20
"2377","20C",2,12,385,70,25
"2378","14C",2,12,571,70,32
"2379","20C",2,14,617,70,36
"2380","14C",2,14,215,70,17
"2381","14C",2,1,881,71,46
"2382","20C",2,1,709,71,44
"2383","20C",2,3,630,71,29
"2384","14C",2,3,496,71,34
"2385","20C",2,5,848,71,47
"2386","14C",2,5,778,71,34
"2387","20C",2,7,353,71,27
"2388","14C",2,7,474,71,26
"2389","20C",2,10,515,71,33
"2390","14C",2,10,362,71,20
"2391","20C",2,12,547,71,25
"2392","14C",2,12,480,71,32
"2393","20C",2,14,658,71,36
"2394","14C",2,14,339,71,17
"2395","14C",2,1,827,72,46
"2396","20C",2,1,741,72,44
"2397","20C",2,3,353,72,29
"2398","14C",2,3,402,72,34
"2399","20C",2,5,791,72,47
"2400","14C",2,5,706,72,34
"2401","20C",2,7,462,72,27
"2402","14C",2,7,493,72,26
"2403","20C",2,10,339,72,33
"2404","14C",2,10,358,72,20
"2405","20C",2,12,376,72,25
"2406","14C",2,12,498,72,32
"2407","20C",2,14,661,72,36
"2408","14C",2,14,204,72,17
"2409","14C",2,1,736,73,46
"2410","20C",2,1,885,73,44
"2411","20C",2,3,466,73,29
"2412","14C",2,3,545,73,34
"2413","20C",2,5,1107,73,47
"2414","14C",2,5,651,73,34
"2415","20C",2,7,428,73,27
"2416","14C",2,7,428,73,26
"2417","20C",2,10,424,73,33
"2418","14C",2,10,486,73,20
"2419","20C",2,12,538,73,25
"2420","14C",2,12,422,73,32
"2421","20C",2,14,507,73,36
"2422","14C",2,14,328,73,17
"2423","14C",2,1,822,74,46
"2424","20C",2,1,709,74,44
"2425","20C",2,3,482,74,29
"2426","14C",2,3,551,74,34
"2427","20C",2,5,787,74,47
"2428","14C",2,5,558,74,34
"2429","20C",2,7,440,74,27
"2430","14C",2,7,434,74,26
"2431","20C",2,10,460,74,33
"2432","14C",2,10,500,74,20
"2433","20C",2,12,364,74,25
"2434","14C",2,12,582,74,32
"2435","20C",2,14,524,74,36
"2436","14C",2,14,438,74,17
"2437","14C",2,1,858,75,46
"2438","20C",2,1,917,75,44
"2439","20C",2,3,569,75,29
"2440","14C",2,3,350,75,34
"2441","20C",2,5,782,75,47
"2442","14C",2,5,567,75,34
"2443","20C",2,7,470,75,27
"2444","14C",2,7,510,75,26
"2445","20C",2,10,675,75,33
"2446","14C",2,10,287,75,20
"2447","20C",2,12,455,75,25
"2448","14C",2,12,540,75,32
"2449","20C",2,14,649,75,36
"2450","14C",2,14,267,75,17
"2451","14C",2,1,816,76,46
"2452","20C",2,1,668,76,44
"2453","20C",2,3,684,76,29
"2454","14C",2,3,446,76,34
"2455","20C",2,5,1078,76,47
"2456","14C",2,5,473,76,34
"2457","20C",2,7,466,76,27
"2458","14C",2,7,441,76,26
"2459","20C",2,10,603,76,33
"2460","14C",2,10,263,76,20
"2461","20C",2,12,424,76,25
"2462","14C",2,12,716,76,32
"2463","20C",2,14,497,76,36
"2464","14C",2,14,315,76,17
"2465","14C",2,1,915,77,46
"2466","20C",2,1,762,77,44
"2467","20C",2,3,323,77,29
"2468","14C",2,3,523,77,34
"2469","20C",2,5,849,77,47
"2470","14C",2,5,677,77,34
"2471","20C",2,7,350,77,27
"2472","14C",2,7,514,77,26
"2473","20C",2,10,670,77,33
"2474","14C",2,10,305,77,20
"2475","20C",2,12,452,77,25
"2476","14C",2,12,489,77,32
"2477","20C",2,14,752,77,36
"2478","14C",2,14,170,77,17
"2479","14C",2,1,800,78,46
"2480","20C",2,1,812,78,44
"2481","20C",2,3,599,78,29
"2482","14C",2,3,541,78,34
"2483","20C",2,5,1037,78,47
"2484","14C",2,5,427,78,34
"2485","20C",2,7,402,78,27
"2486","14C",2,7,489,78,26
"2487","20C",2,10,555,78,33
"2488","14C",2,10,274,78,20
"2489","20C",2,12,535,78,25
"2490","14C",2,12,683,78,32
"2491","20C",2,14,712,78,36
"2492","14C",2,14,266,78,17
"2493","14C",2,1,862,79,46
"2494","20C",2,1,542,79,44
"2495","20C",2,3,566,79,29
"2496","14C",2,3,765,79,34
"2497","20C",2,5,793,79,47
"2498","14C",2,5,757,79,34
"2499","20C",2,7,394,79,27
"2500","14C",2,7,438,79,26
"2501","20C",2,10,526,79,33
"2502","14C",2,10,294,79,20
"2503","20C",2,12,425,79,25
"2504","14C",2,12,424,79,32
"2505","20C",2,14,566,79,36
"2506","14C",2,14,230,79,17
"2507","14C",2,1,956,80,46
"2508","20C",2,1,791,80,44
"2509","20C",2,3,527,80,29
"2510","14C",2,3,530,80,34
"2511","20C",2,5,803,80,47
"2512","14C",2,5,452,80,34
"2513","20C",2,7,449,80,27
"2514","14C",2,7,450,80,26
"2515","20C",2,10,514,80,33
"2516","14C",2,10,348,80,20
"2517","20C",2,12,382,80,25
"2518","14C",2,12,677,80,32
"2519","20C",2,14,580,80,36
"2520","14C",2,14,231,80,17
"2521","14C",2,1,705,81,46
"2522","20C",2,1,627,81,44
"2523","20C",2,3,509,81,29
"2524","14C",2,3,457,81,34
"2525","20C",2,5,1071,81,47
"2526","14C",2,5,465,81,34
"2527","20C",2,7,557,81,27
"2528","14C",2,7,388,81,26
