"","treatment","jar_id","day","jar_count","replicate"
"227","14C",4,1,779,27
"228","14C",4,1,752,28
"229","14C",4,1,791,29
"230","14C",4,1,630,30
"231","14C",4,1,690,31
"232","14C",4,1,669,32
"233","14C",4,1,699,33
"234","14C",4,1,691,34
"235","14C",4,1,551,35
"236","14C",4,1,777,36
"237","14C",4,1,775,37
"238","14C",4,1,612,38
"239","14C",4,1,621,39
"240","14C",4,1,695,40
"241","14C",4,1,872,41
"242","14C",4,1,635,42
"243","14C",4,1,546,43
"244","14C",4,1,710,44
"245","14C",4,1,495,45
"246","14C",4,1,674,46
"247","14C",4,1,659,47
"248","14C",4,1,635,48
"249","14C",4,1,738,49
"250","14C",4,1,676,50
"251","14C",4,1,637,51
"252","14C",4,1,744,52
"253","14C",4,1,668,53
"254","14C",4,1,705,54
"255","14C",4,1,640,55
"256","14C",4,1,637,56
"257","14C",4,1,627,57
"258","14C",4,1,590,58
"259","14C",4,1,597,59
"260","14C",4,1,594,60
"261","14C",4,1,548,61
"262","14C",4,1,610,62
"263","14C",4,1,513,63
"264","14C",4,1,793,64
"265","14C",4,1,737,65
"266","14C",4,1,779,66
"267","14C",4,1,528,67
"268","14C",4,1,544,68
"269","14C",4,1,712,69
"270","14C",4,1,711,70
"271","14C",4,1,775,71
"272","14C",4,1,542,72
"273","14C",4,1,702,73
"274","14C",4,1,639,74
"275","14C",4,1,676,75
"276","14C",4,1,666,76
"277","14C",4,1,729,77
"278","14C",4,1,623,78
"279","14C",4,1,698,79
"280","14C",4,1,862,80
"281","14C",4,1,618,81
"282","14C",4,1,798,82
"283","14C",4,1,543,83
"284","14C",4,1,831,84
"285","14C",4,1,804,85
"286","14C",4,1,628,86
"287","14C",4,1,473,87
"288","14C",4,1,543,88
"289","14C",4,1,612,89
"290","14C",4,1,623,90
"291","14C",4,1,582,91
"292","14C",4,1,689,92
"293","14C",4,1,592,93
"294","14C",4,1,724,94
"295","14C",4,1,690,95
"296","14C",4,1,700,96
"297","14C",4,1,889,97
"298","14C",4,1,834,98
"299","14C",4,1,662,99
"300","14C",4,1,508,100
"301","14C",3,1,954,1
"302","14C",3,1,822,2
"303","14C",3,1,932,3
"304","14C",3,1,837,4
"305","14C",3,1,693,5
"306","14C",3,1,681,6
"307","14C",3,1,648,7
"308","14C",3,1,730,8
"309","14C",3,1,857,9
"310","14C",3,1,764,10
"311","14C",3,1,839,11
"312","14C",3,1,796,12
"313","14C",3,1,709,13
"314","14C",3,1,874,14
"315","14C",3,1,809,15
"316","14C",3,1,906,16
"317","14C",3,1,952,17
"318","14C",3,1,614,18
"319","14C",3,1,749,19
"320","14C",3,1,846,20
"321","14C",3,1,887,21
"322","14C",3,1,764,22
"323","14C",3,1,650,23
"324","14C",3,1,764,24
"325","14C",3,1,857,25
"326","14C",3,1,787,26
"327","14C",3,1,664,27
"328","14C",3,1,705,28
"329","14C",3,1,705,29
"330","14C",3,1,1042,30
"331","14C",3,1,657,31
"332","14C",3,1,614,32
"333","14C",3,1,979,33
"334","14C",3,1,883,34
"335","14C",3,1,720,35
"336","14C",3,1,915,36
"337","14C",3,1,953,37
"338","14C",3,1,1003,38
"339","14C",3,1,657,39
"340","14C",3,1,731,40
"341","14C",3,1,704,41
"342","14C",3,1,927,42
"343","14C",3,1,730,43
"344","14C",3,1,746,44
"345","14C",3,1,862,45
"346","14C",3,1,916,46
"347","14C",3,1,774,47
"348","14C",3,1,890,48
"349","14C",3,1,855,49
"350","14C",3,1,629,50
"351","14C",3,1,691,51
"352","14C",3,1,668,52
"353","14C",3,1,747,53
"354","14C",3,1,730,54
"355","14C",3,1,685,55
"356","14C",3,1,809,56
"357","14C",3,1,869,57
"358","14C",3,1,681,58
"359","14C",3,1,804,59
"360","14C",3,1,744,60
"361","14C",3,1,894,61
"362","14C",3,1,750,62
"363","14C",3,1,788,63
"364","14C",3,1,696,64
"365","14C",3,1,705,65
"366","14C",3,1,786,66
"367","14C",3,1,835,67
"368","14C",3,1,731,68
"369","14C",3,1,865,69
"370","14C",3,1,733,70
"371","14C",3,1,798,71
"372","14C",3,1,1020,72
"373","14C",3,1,910,73
"374","14C",3,1,758,74
"375","14C",3,1,884,75
"376","14C",3,1,768,76
"377","14C",3,1,955,77
"378","14C",3,1,851,78
"379","14C",3,1,810,79
"380","14C",3,1,770,80
"381","14C",3,1,794,81
"382","14C",3,1,717,82
"383","14C",3,1,1071,83
"384","14C",3,1,945,84
"385","14C",3,1,920,85
"386","14C",3,1,683,86
"387","14C",3,1,1125,87
"388","14C",3,1,834,88
"389","14C",3,1,925,89
"390","14C",3,1,911,90
"391","14C",3,1,717,91
"392","14C",3,1,789,92
"393","14C",3,1,1048,93
"394","14C",3,1,604,94
"395","14C",3,1,705,95
"396","14C",3,1,791,96
"397","14C",3,1,956,97
"398","14C",3,1,811,98
"399","14C",3,1,889,99
"400","14C",3,1,707,100
"401","14C",2,1,743,1
"402","14C",2,1,672,2
"403","14C",2,1,762,3
"404","14C",2,1,775,4
"405","14C",2,1,740,5
"406","14C",2,1,767,6
"407","14C",2,1,703,7
"408","14C",2,1,1073,8
"409","14C",2,1,920,9
"410","14C",2,1,842,10
"411","14C",2,1,655,11
"412","14C",2,1,866,12
"413","14C",2,1,689,13
"414","14C",2,1,686,14
"415","14C",2,1,863,15
"416","14C",2,1,909,16
"417","14C",2,1,761,17
"418","14C",2,1,734,18
"419","14C",2,1,794,19
"420","14C",2,1,923,20
"421","14C",2,1,680,21
"422","14C",2,1,825,22
"423","14C",2,1,663,23
"424","14C",2,1,735,24
"425","14C",2,1,939,25
"426","14C",2,1,605,26
"427","14C",2,1,845,27
"428","14C",2,1,900,28
"429","14C",2,1,591,29
"430","14C",2,1,654,30
"431","14C",2,1,979,31
"432","14C",2,1,695,32
"433","14C",2,1,796,33
"434","14C",2,1,830,34
"435","14C",2,1,707,35
"436","14C",2,1,835,36
"437","14C",2,1,802,37
"438","14C",2,1,807,38
"439","14C",2,1,923,39
"440","14C",2,1,803,40
"441","14C",2,1,699,41
"442","14C",2,1,730,42
"443","14C",2,1,819,43
"444","14C",2,1,765,44
"445","14C",2,1,905,45
"446","14C",2,1,901,46
"447","14C",2,1,735,47
"448","14C",2,1,1033,48
"449","14C",2,1,893,49
"450","14C",2,1,681,50
"451","14C",2,1,696,51
"452","14C",2,1,689,52
"453","14C",2,1,1045,53
"454","14C",2,1,675,54
"455","14C",2,1,1063,55
"456","14C",2,1,660,56
"457","14C",2,1,722,57
"458","14C",2,1,671,58
"459","14C",2,1,976,59
"460","14C",2,1,929,60
"461","14C",2,1,1001,61
"462","14C",2,1,746,62
"463","14C",2,1,891,63
"464","14C",2,1,690,64
"465","14C",2,1,743,65
"466","14C",2,1,713,66
"467","14C",2,1,747,67
"468","14C",2,1,879,68
"469","14C",2,1,829,69
"470","14C",2,1,746,70
"471","14C",2,1,881,71
"472","14C",2,1,827,72
"473","14C",2,1,736,73
"474","14C",2,1,822,74
"475","14C",2,1,858,75
"476","14C",2,1,816,76
"477","14C",2,1,915,77
"478","14C",2,1,800,78
"479","14C",2,1,862,79
"480","14C",2,1,956,80
"481","14C",2,1,705,81
"482","14C",2,1,815,82
"483","14C",2,1,595,83
"484","14C",2,1,694,84
"485","14C",2,1,692,85
"486","14C",2,1,784,86
"487","14C",2,1,676,87
"488","14C",2,1,831,88
"489","14C",2,1,660,89
"490","14C",2,1,667,90
"491","14C",2,1,801,91
"492","14C",2,1,931,92
"493","14C",2,1,743,93
"494","14C",2,1,714,94
"495","14C",2,1,780,95
"496","14C",2,1,839,96
"497","14C",2,1,757,97
"498","14C",2,1,858,98
"499","14C",2,1,823,99
"500","14C",2,1,920,100
"501","14C",1,1,750,1
"502","14C",1,1,798,2
"503","14C",1,1,996,3
"504","14C",1,1,794,4
"505","14C",1,1,827,5
"506","14C",1,1,884,6
"507","14C",1,1,1010,7
"508","14C",1,1,856,8
"509","14C",1,1,734,9
"510","14C",1,1,1003,10
"511","14C",1,1,762,11
"512","14C",1,1,803,12
"513","14C",1,1,777,13
"514","14C",1,1,684,14
"515","14C",1,1,788,15
"516","14C",1,1,815,16
"517","14C",1,1,773,17
"518","14C",1,1,659,18
"519","14C",1,1,827,19
"520","14C",1,1,516,20
"521","14C",1,1,708,21
"522","14C",1,1,613,22
"523","14C",1,1,754,23
"524","14C",1,1,862,24
"525","14C",1,1,882,25
"526","14C",1,1,757,26
"527","14C",1,1,716,27
"528","14C",1,1,1017,28
"529","14C",1,1,1077,29
"530","14C",1,1,804,30
"531","14C",1,1,847,31
"532","14C",1,1,975,32
"533","14C",1,1,684,33
"534","14C",1,1,757,34
"535","14C",1,1,876,35
"536","14C",1,1,979,36
"537","14C",1,1,937,37
"538","14C",1,1,710,38
"539","14C",1,1,876,39
"540","14C",1,1,773,40
"541","14C",1,1,645,41
"542","14C",1,1,756,42
"543","14C",1,1,824,43
"544","14C",1,1,982,44
"545","14C",1,1,940,45
"546","14C",1,1,590,46
"547","14C",1,1,936,47
"548","14C",1,1,875,48
"549","14C",1,1,911,49
"550","14C",1,1,822,50
"551","14C",1,1,768,51
"552","14C",1,1,798,52
"553","14C",1,1,879,53
"554","14C",1,1,957,54
"555","14C",1,1,872,55
"556","14C",1,1,903,56
"557","14C",1,1,769,57
"558","14C",1,1,722,58
"559","14C",1,1,872,59
"560","14C",1,1,787,60
"561","14C",1,1,588,61
"562","14C",1,1,937,62
"563","14C",1,1,992,63
"564","14C",1,1,791,64
"565","14C",1,1,863,65
"566","14C",1,1,689,66
"567","14C",1,1,707,67
"568","14C",1,1,818,68
"569","14C",1,1,724,69
"570","14C",1,1,818,70
"571","14C",1,1,772,71
"572","14C",1,1,851,72
"573","14C",1,1,756,73
"574","14C",1,1,839,74
"575","14C",1,1,731,75
"576","14C",1,1,798,76
"577","14C",1,1,827,77
"578","14C",1,1,750,78
"579","14C",1,1,728,79
"580","14C",1,1,804,80
"581","14C",1,1,779,81
"582","14C",1,1,935,82
"583","14C",1,1,763,83
"584","14C",1,1,923,84
"585","14C",1,1,866,85
"586","14C",1,1,1137,86
"587","14C",1,1,1012,87
"588","14C",1,1,779,88
"589","14C",1,1,915,89
"590","14C",1,1,1016,90
"591","14C",1,1,1015,91
"592","14C",1,1,670,92
"593","14C",1,1,965,93
"594","14C",1,1,649,94
"595","14C",1,1,716,95
"596","14C",1,1,720,96
"597","14C",1,1,951,97
"598","14C",1,1,697,98
"599","14C",1,1,712,99
"600","14C",1,1,814,100
"601","20C",1,1,667,1
"602","20C",1,1,829,2
"603","20C",1,1,558,3
"604","20C",1,1,664,4
"605","20C",1,1,630,5
"606","20C",1,1,458,6
"607","20C",1,1,701,7
"608","20C",1,1,710,8
"609","20C",1,1,644,9
"610","20C",1,1,676,10
"611","20C",1,1,787,11
"612","20C",1,1,936,12
"613","20C",1,1,615,13
"614","20C",1,1,725,14
"615","20C",1,1,642,15
"616","20C",1,1,677,16
"617","20C",1,1,845,17
"618","20C",1,1,734,18
"619","20C",1,1,724,19
"620","20C",1,1,914,20
"621","20C",1,1,697,21
"622","20C",1,1,888,22
"623","20C",1,1,850,23
"624","20C",1,1,797,24
"625","20C",1,1,721,25
"626","20C",1,1,756,26
"627","20C",1,1,731,27
"628","20C",1,1,487,28
"629","20C",1,1,736,29
"630","20C",1,1,658,30
"631","20C",1,1,592,31
"632","20C",1,1,571,32
"633","20C",1,1,659,33
"634","20C",1,1,620,34
"635","20C",1,1,684,35
"636","20C",1,1,800,36
"637","20C",1,1,802,37
"638","20C",1,1,746,38
"639","20C",1,1,586,39
"640","20C",1,1,680,40
"641","20C",1,1,696,41
"642","20C",1,1,662,42
"643","20C",1,1,576,43
"644","20C",1,1,513,44
"645","20C",1,1,724,45
"646","20C",1,1,508,46
"647","20C",1,1,919,47
"648","20C",1,1,844,48
"649","20C",1,1,636,49
"650","20C",1,1,693,50
"651","20C",1,1,590,51
"652","20C",1,1,862,52
"653","20C",1,1,661,53
"654","20C",1,1,687,54
"655","20C",1,1,928,55
"656","20C",1,1,607,56
"657","20C",1,1,660,57
"658","20C",1,1,724,58
"659","20C",1,1,750,59
"660","20C",1,1,575,60
"661","20C",1,1,674,61
"662","20C",1,1,671,62
"663","20C",1,1,603,63
"664","20C",1,1,705,64
"665","20C",1,1,640,65
"666","20C",1,1,742,66
"667","20C",1,1,612,67
"668","20C",1,1,599,68
"669","20C",1,1,720,69
"670","20C",1,1,625,70
"671","20C",1,1,886,71
"672","20C",1,1,814,72
"673","20C",1,1,730,73
"674","20C",1,1,819,74
"675","20C",1,1,773,75
"676","20C",1,1,767,76
"677","20C",1,1,657,77
"678","20C",1,1,804,78
"679","20C",1,1,726,79
"680","20C",1,1,931,80
"681","20C",1,1,648,81
"682","20C",1,1,798,82
"683","20C",1,1,663,83
"684","20C",1,1,590,84
"685","20C",1,1,705,85
"686","20C",1,1,645,86
"687","20C",1,1,969,87
"688","20C",1,1,1047,88
"689","20C",1,1,693,89
"690","20C",1,1,833,90
"691","20C",1,1,650,91
"692","20C",1,1,702,92
"693","20C",1,1,621,93
"694","20C",1,1,693,94
"695","20C",1,1,847,95
"696","20C",1,1,611,96
"697","20C",1,1,790,97
"698","20C",1,1,796,98
"699","20C",1,1,709,99
"700","20C",1,1,608,100
"701","20C",2,1,602,1
"702","20C",2,1,622,2
"703","20C",2,1,623,3
"704","20C",2,1,656,4
"705","20C",2,1,722,5
"706","20C",2,1,660,6
"707","20C",2,1,634,7
"708","20C",2,1,531,8
"709","20C",2,1,597,9
"710","20C",2,1,963,10
"711","20C",2,1,707,11
"712","20C",2,1,727,12
"713","20C",2,1,708,13
"714","20C",2,1,569,14
"715","20C",2,1,765,15
"716","20C",2,1,499,16
"717","20C",2,1,625,17
"718","20C",2,1,736,18
"719","20C",2,1,760,19
"720","20C",2,1,738,20
"721","20C",2,1,848,21
"722","20C",2,1,886,22
"723","20C",2,1,667,23
"724","20C",2,1,761,24
"725","20C",2,1,829,25
"726","20C",2,1,965,26
"727","20C",2,1,759,27
"728","20C",2,1,757,28
"729","20C",2,1,732,29
"730","20C",2,1,930,30
"731","20C",2,1,999,31
"732","20C",2,1,615,32
"733","20C",2,1,632,33
"734","20C",2,1,755,34
"735","20C",2,1,847,35
"736","20C",2,1,764,36
"737","20C",2,1,855,37
"738","20C",2,1,566,38
"739","20C",2,1,838,39
"740","20C",2,1,645,40
"741","20C",2,1,730,41
"742","20C",2,1,757,42
"743","20C",2,1,875,43
"744","20C",2,1,601,44
"745","20C",2,1,844,45
"746","20C",2,1,578,46
"747","20C",2,1,732,47
"748","20C",2,1,711,48
"749","20C",2,1,718,49
"750","20C",2,1,782,50
"751","20C",2,1,630,51
"752","20C",2,1,649,52
"753","20C",2,1,771,53
"754","20C",2,1,836,54
"755","20C",2,1,956,55
"756","20C",2,1,973,56
"757","20C",2,1,964,57
"758","20C",2,1,855,58
"759","20C",2,1,809,59
"760","20C",2,1,834,60
"761","20C",2,1,779,61
"762","20C",2,1,625,62
"763","20C",2,1,722,63
"764","20C",2,1,593,64
"765","20C",2,1,630,65
"766","20C",2,1,675,66
"767","20C",2,1,912,67
"768","20C",2,1,806,68
"769","20C",2,1,712,69
"770","20C",2,1,818,70
"771","20C",2,1,709,71
"772","20C",2,1,741,72
"773","20C",2,1,885,73
"774","20C",2,1,709,74
"775","20C",2,1,917,75
"776","20C",2,1,668,76
"777","20C",2,1,762,77
"778","20C",2,1,812,78
"779","20C",2,1,542,79
"780","20C",2,1,791,80
"781","20C",2,1,627,81
"782","20C",2,1,680,82
"783","20C",2,1,592,83
"784","20C",2,1,821,84
"785","20C",2,1,981,85
"786","20C",2,1,813,86
"787","20C",2,1,802,87
"788","20C",2,1,743,88
"789","20C",2,1,666,89
"790","20C",2,1,979,90
"791","20C",2,1,678,91
"792","20C",2,1,518,92
"793","20C",2,1,870,93
"794","20C",2,1,792,94
"795","20C",2,1,653,95
"796","20C",2,1,616,96
"797","20C",2,1,916,97
"798","20C",2,1,928,98
"799","20C",2,1,713,99
"800","20C",2,1,633,100
"801","20C",3,1,943,1
"802","20C",3,1,889,2
"803","20C",3,1,1036,3
"804","20C",3,1,800,4
"805","20C",3,1,937,5
"806","20C",3,1,872,6
"807","20C",3,1,665,7
"808","20C",3,1,954,8
"809","20C",3,1,801,9
"810","20C",3,1,835,10
"811","20C",3,1,733,11
"812","20C",3,1,936,12
"813","20C",3,1,801,13
"814","20C",3,1,686,14
"815","20C",3,1,757,15
"816","20C",3,1,991,16
"817","20C",3,1,681,17
"818","20C",3,1,755,18
"819","20C",3,1,977,19
"820","20C",3,1,1004,20
"821","20C",3,1,878,21
"822","20C",3,1,947,22
"823","20C",3,1,740,23
"824","20C",3,1,865,24
"825","20C",3,1,815,25
"826","20C",3,1,721,26
"827","20C",3,1,854,27
"828","20C",3,1,911,28
"829","20C",3,1,746,29
"830","20C",3,1,909,30
"831","20C",3,1,841,31
"832","20C",3,1,841,32
"833","20C",3,1,734,33
"834","20C",3,1,859,34
"835","20C",3,1,973,35
"836","20C",3,1,1026,36
"837","20C",3,1,819,37
"838","20C",3,1,974,38
"839","20C",3,1,795,39
"840","20C",3,1,892,40
"841","20C",3,1,884,41
"842","20C",3,1,982,42
"843","20C",3,1,770,43
"844","20C",3,1,615,44
"845","20C",3,1,833,45
"846","20C",3,1,782,46
"847","20C",3,1,907,47
"848","20C",3,1,790,48
"849","20C",3,1,903,49
"850","20C",3,1,1096,50
"851","20C",3,1,864,51
"852","20C",3,1,899,52
"853","20C",3,1,862,53
"854","20C",3,1,793,54
"855","20C",3,1,769,55
"856","20C",3,1,693,56
"857","20C",3,1,907,57
"858","20C",3,1,838,58
"859","20C",3,1,771,59
"860","20C",3,1,1038,60
"861","20C",3,1,664,61
"862","20C",3,1,837,62
"863","20C",3,1,889,63
"864","20C",3,1,681,64
"865","20C",3,1,658,65
"866","20C",3,1,930,66
"867","20C",3,1,731,67
"868","20C",3,1,831,68
"869","20C",3,1,824,69
"870","20C",3,1,890,70
"871","20C",3,1,791,71
"872","20C",3,1,890,72
"873","20C",3,1,998,73
"874","20C",3,1,677,74
"875","20C",3,1,744,75
"876","20C",3,1,803,76
"877","20C",3,1,835,77
"878","20C",3,1,968,78
"879","20C",3,1,719,79
"880","20C",3,1,856,80
"881","20C",3,1,848,81
"882","20C",3,1,860,82
"883","20C",3,1,858,83
"884","20C",3,1,658,84
"885","20C",3,1,909,85
"886","20C",3,1,799,86
"887","20C",3,1,847,87
"888","20C",3,1,900,88
"889","20C",3,1,809,89
"890","20C",3,1,884,90
"891","20C",3,1,893,91
"892","20C",3,1,732,92
"893","20C",3,1,703,93
"894","20C",3,1,664,94
"895","20C",3,1,967,95
"896","20C",3,1,878,96
"897","20C",3,1,864,97
"898","20C",3,1,745,98
"899","20C",3,1,710,99
"900","20C",3,1,940,100
"901","20C",4,1,972,1
"902","20C",4,1,823,2
"903","20C",4,1,926,3
"904","20C",4,1,825,4
"905","20C",4,1,805,5
"906","20C",4,1,879,6
"907","20C",4,1,991,7
"908","20C",4,1,924,8
"909","20C",4,1,842,9
"910","20C",4,1,850,10
"911","20C",4,1,913,11
"912","20C",4,1,781,12
"913","20C",4,1,997,13
"914","20C",4,1,1207,14
"915","20C",4,1,848,15
"916","20C",4,1,1028,16
"917","20C",4,1,770,17
"918","20C",4,1,728,18
"919","20C",4,1,884,19
"920","20C",4,1,1169,20
"921","20C",4,1,693,21
"922","20C",4,1,1009,22
"923","20C",4,1,970,23
"924","20C",4,1,966,24
"925","20C",4,1,606,25
"926","20C",4,1,866,26
"927","20C",4,1,922,27
"928","20C",4,1,1032,28
"929","20C",4,1,801,29
"930","20C",4,1,981,30
"931","20C",4,1,904,31
"932","20C",4,1,656,32
"933","20C",4,1,890,33
"934","20C",4,1,782,34
"935","20C",4,1,900,35
"936","20C",4,1,877,36
"937","20C",4,1,787,37
"938","20C",4,1,781,38
"939","20C",4,1,798,39
"940","20C",4,1,942,40
"941","20C",4,1,906,41
"942","20C",4,1,826,42
"943","20C",4,1,847,43
"944","20C",4,1,928,44
"945","20C",4,1,927,45
"946","20C",4,1,808,46
"947","20C",4,1,842,47
"948","20C",4,1,906,48
"949","20C",4,1,670,49
"950","20C",4,1,1043,50
"951","20C",4,1,893,51
"952","20C",4,1,841,52
"953","20C",4,1,844,53
"954","20C",4,1,673,54
"955","20C",4,1,845,55
"956","20C",4,1,1014,56
"957","20C",4,1,862,57
"958","20C",4,1,886,58
"959","20C",4,1,903,59
"960","20C",4,1,901,60
"961","20C",4,1,881,61
"962","20C",4,1,928,62
"963","20C",4,1,961,63
"964","20C",4,1,939,64
"965","20C",4,1,1054,65
"966","20C",4,1,1142,66
"967","20C",4,1,1004,67
"968","20C",4,1,806,68
"969","20C",4,1,1002,69
"970","20C",4,1,774,70
"971","20C",4,1,787,71
"972","20C",4,1,886,72
"973","20C",4,1,1095,73
"974","20C",4,1,694,74
"975","20C",4,1,1019,75
"976","20C",4,1,633,76
"977","20C",4,1,962,77
"978","20C",4,1,881,78
"979","20C",4,1,737,79
"980","20C",4,1,865,80
"981","20C",4,1,742,81
"982","20C",4,1,855,82
"983","20C",4,1,983,83
"984","20C",4,1,710,84
"985","20C",4,1,873,85
"986","20C",4,1,823,86
"987","20C",4,1,717,87
"988","20C",4,1,944,88
"989","20C",4,1,711,89
"990","20C",4,1,831,90
"991","20C",4,1,851,91
