day,raw_count,sim_count,jar_id,rep_id,treatment,site
1,43,588,31,301,20C,DB
3,37,566,31,301,20C,DB
5,31,522,31,301,20C,DB
7,35,509,31,301,20C,DB
10,46,503,31,301,20C,DB
12,21,386,31,301,20C,DB
14,21,379,31,301,20C,DB
1,43,816,31,302,20C,DB
3,37,627,31,302,20C,DB
5,31,603,31,302,20C,DB
7,35,570,31,302,20C,DB
10,46,495,31,302,20C,DB
12,21,379,31,302,20C,DB
14,21,302,31,302,20C,DB
1,43,782,31,303,20C,DB
3,37,735,31,303,20C,DB
5,31,645,31,303,20C,DB
7,35,615,31,303,20C,DB
10,46,548,31,303,20C,DB
12,21,361,31,303,20C,DB
14,21,249,31,303,20C,DB
1,43,823,31,304,20C,DB
3,37,723,31,304,20C,DB
5,31,690,31,304,20C,DB
7,35,586,31,304,20C,DB
10,46,570,31,304,20C,DB
12,21,433,31,304,20C,DB
14,21,233,31,304,20C,DB
1,43,761,31,305,20C,DB
3,37,625,31,305,20C,DB
5,31,582,31,305,20C,DB
7,35,562,31,305,20C,DB
10,46,556,31,305,20C,DB
12,21,454,31,305,20C,DB
14,21,284,31,305,20C,DB
1,43,800,31,306,20C,DB
3,37,644,31,306,20C,DB
5,31,535,31,306,20C,DB
7,35,511,31,306,20C,DB
10,46,485,31,306,20C,DB
12,21,386,31,306,20C,DB
14,21,284,31,306,20C,DB
1,43,910,31,307,20C,DB
3,37,680,31,307,20C,DB
5,31,635,31,307,20C,DB
7,35,635,31,307,20C,DB
10,46,631,31,307,20C,DB
12,21,389,31,307,20C,DB
14,21,255,31,307,20C,DB
1,43,642,31,308,20C,DB
3,37,622,31,308,20C,DB
5,31,620,31,308,20C,DB
7,35,606,31,308,20C,DB
10,46,588,31,308,20C,DB
12,21,558,31,308,20C,DB
14,21,357,31,308,20C,DB
1,43,698,31,309,20C,DB
3,37,689,31,309,20C,DB
5,31,611,31,309,20C,DB
7,35,555,31,309,20C,DB
10,46,448,31,309,20C,DB
12,21,438,31,309,20C,DB
14,21,380,31,309,20C,DB
1,43,989,31,310,20C,DB
3,37,773,31,310,20C,DB
5,31,574,31,310,20C,DB
7,35,566,31,310,20C,DB
10,46,565,31,310,20C,DB
12,21,447,31,310,20C,DB
14,21,405,31,310,20C,DB
1,43,741,31,311,20C,DB
3,37,663,31,311,20C,DB
5,31,640,31,311,20C,DB
7,35,638,31,311,20C,DB
10,46,596,31,311,20C,DB
12,21,429,31,311,20C,DB
14,21,405,31,311,20C,DB
1,43,979,31,312,20C,DB
3,37,781,31,312,20C,DB
5,31,529,31,312,20C,DB
7,35,528,31,312,20C,DB
10,46,510,31,312,20C,DB
12,21,408,31,312,20C,DB
14,21,391,31,312,20C,DB
1,43,731,31,313,20C,DB
3,37,701,31,313,20C,DB
5,31,694,31,313,20C,DB
7,35,657,31,313,20C,DB
10,46,602,31,313,20C,DB
12,21,484,31,313,20C,DB
14,21,469,31,313,20C,DB
1,43,764,31,314,20C,DB
3,37,680,31,314,20C,DB
5,31,631,31,314,20C,DB
7,35,621,31,314,20C,DB
10,46,611,31,314,20C,DB
12,21,377,31,314,20C,DB
14,21,329,31,314,20C,DB
1,43,806,31,315,20C,DB
3,37,801,31,315,20C,DB
5,31,719,31,315,20C,DB
7,35,660,31,315,20C,DB
10,46,655,31,315,20C,DB
12,21,492,31,315,20C,DB
14,21,424,31,315,20C,DB
1,43,738,31,316,20C,DB
3,37,719,31,316,20C,DB
5,31,696,31,316,20C,DB
7,35,679,31,316,20C,DB
10,46,674,31,316,20C,DB
12,21,381,31,316,20C,DB
14,21,310,31,316,20C,DB
1,43,788,31,317,20C,DB
3,37,775,31,317,20C,DB
5,31,759,31,317,20C,DB
7,35,742,31,317,20C,DB
10,46,690,31,317,20C,DB
12,21,472,31,317,20C,DB
14,21,344,31,317,20C,DB
1,43,797,31,318,20C,DB
3,37,778,31,318,20C,DB
5,31,697,31,318,20C,DB
7,35,614,31,318,20C,DB
10,46,578,31,318,20C,DB
12,21,383,31,318,20C,DB
14,21,274,31,318,20C,DB
1,43,716,31,319,20C,DB
3,37,696,31,319,20C,DB
5,31,622,31,319,20C,DB
7,35,552,31,319,20C,DB
10,46,526,31,319,20C,DB
12,21,380,31,319,20C,DB
14,21,322,31,319,20C,DB
1,43,812,31,320,20C,DB
3,37,784,31,320,20C,DB
5,31,620,31,320,20C,DB
7,35,612,31,320,20C,DB
10,46,539,31,320,20C,DB
12,21,365,31,320,20C,DB
14,21,355,31,320,20C,DB
1,43,751,31,321,20C,DB
3,37,704,31,321,20C,DB
5,31,688,31,321,20C,DB
7,35,677,31,321,20C,DB
10,46,590,31,321,20C,DB
12,21,423,31,321,20C,DB
14,21,375,31,321,20C,DB
1,43,948,31,322,20C,DB
3,37,645,31,322,20C,DB
5,31,586,31,322,20C,DB
7,35,531,31,322,20C,DB
10,46,470,31,322,20C,DB
12,21,394,31,322,20C,DB
14,21,331,31,322,20C,DB
1,43,785,31,323,20C,DB
3,37,712,31,323,20C,DB
5,31,578,31,323,20C,DB
7,35,507,31,323,20C,DB
10,46,487,31,323,20C,DB
12,21,475,31,323,20C,DB
14,21,315,31,323,20C,DB
1,43,930,31,324,20C,DB
3,37,724,31,324,20C,DB
5,31,595,31,324,20C,DB
7,35,570,31,324,20C,DB
10,46,507,31,324,20C,DB
12,21,431,31,324,20C,DB
14,21,262,31,324,20C,DB
1,43,800,31,325,20C,DB
3,37,696,31,325,20C,DB
5,31,660,31,325,20C,DB
7,35,659,31,325,20C,DB
10,46,606,31,325,20C,DB
12,21,416,31,325,20C,DB
14,21,325,31,325,20C,DB
1,43,711,31,326,20C,DB
3,37,700,31,326,20C,DB
5,31,627,31,326,20C,DB
7,35,560,31,326,20C,DB
10,46,549,31,326,20C,DB
12,21,514,31,326,20C,DB
14,21,337,31,326,20C,DB
1,43,826,31,327,20C,DB
3,37,763,31,327,20C,DB
5,31,636,31,327,20C,DB
7,35,593,31,327,20C,DB
10,46,588,31,327,20C,DB
12,21,454,31,327,20C,DB
14,21,450,31,327,20C,DB
1,43,830,31,328,20C,DB
3,37,767,31,328,20C,DB
5,31,748,31,328,20C,DB
7,35,591,31,328,20C,DB
10,46,573,31,328,20C,DB
12,21,438,31,328,20C,DB
14,21,288,31,328,20C,DB
1,43,926,31,329,20C,DB
3,37,754,31,329,20C,DB
5,31,735,31,329,20C,DB
7,35,721,31,329,20C,DB
10,46,641,31,329,20C,DB
12,21,417,31,329,20C,DB
14,21,318,31,329,20C,DB
1,43,895,31,330,20C,DB
3,37,895,31,330,20C,DB
5,31,661,31,330,20C,DB
7,35,656,31,330,20C,DB
10,46,637,31,330,20C,DB
12,21,504,31,330,20C,DB
14,21,308,31,330,20C,DB
1,43,859,31,331,20C,DB
3,37,640,31,331,20C,DB
5,31,602,31,331,20C,DB
7,35,595,31,331,20C,DB
10,46,592,31,331,20C,DB
12,21,362,31,331,20C,DB
14,21,355,31,331,20C,DB
1,43,947,31,332,20C,DB
3,37,707,31,332,20C,DB
5,31,638,31,332,20C,DB
7,35,606,31,332,20C,DB
10,46,582,31,332,20C,DB
12,21,474,31,332,20C,DB
14,21,369,31,332,20C,DB
1,43,665,31,333,20C,DB
3,37,629,31,333,20C,DB
5,31,611,31,333,20C,DB
7,35,611,31,333,20C,DB
10,46,571,31,333,20C,DB
12,21,367,31,333,20C,DB
14,21,349,31,333,20C,DB
1,43,816,31,334,20C,DB
3,37,734,31,334,20C,DB
5,31,684,31,334,20C,DB
7,35,627,31,334,20C,DB
10,46,570,31,334,20C,DB
12,21,320,31,334,20C,DB
14,21,286,31,334,20C,DB
1,43,823,31,335,20C,DB
3,37,680,31,335,20C,DB
5,31,617,31,335,20C,DB
7,35,563,31,335,20C,DB
10,46,542,31,335,20C,DB
12,21,476,31,335,20C,DB
14,21,435,31,335,20C,DB
1,43,798,31,336,20C,DB
3,37,646,31,336,20C,DB
5,31,642,31,336,20C,DB
7,35,626,31,336,20C,DB
10,46,598,31,336,20C,DB
12,21,340,31,336,20C,DB
14,21,328,31,336,20C,DB
1,43,723,31,337,20C,DB
3,37,713,31,337,20C,DB
5,31,532,31,337,20C,DB
7,35,531,31,337,20C,DB
10,46,475,31,337,20C,DB
12,21,426,31,337,20C,DB
14,21,348,31,337,20C,DB
1,43,682,31,338,20C,DB
3,37,644,31,338,20C,DB
5,31,613,31,338,20C,DB
7,35,606,31,338,20C,DB
10,46,536,31,338,20C,DB
12,21,418,31,338,20C,DB
14,21,186,31,338,20C,DB
1,43,809,31,339,20C,DB
3,37,664,31,339,20C,DB
5,31,590,31,339,20C,DB
7,35,570,31,339,20C,DB
10,46,568,31,339,20C,DB
12,21,405,31,339,20C,DB
14,21,368,31,339,20C,DB
1,43,838,31,340,20C,DB
3,37,656,31,340,20C,DB
5,31,618,31,340,20C,DB
7,35,599,31,340,20C,DB
10,46,497,31,340,20C,DB
12,21,384,31,340,20C,DB
14,21,277,31,340,20C,DB
1,43,858,31,341,20C,DB
3,37,681,31,341,20C,DB
5,31,629,31,341,20C,DB
7,35,629,31,341,20C,DB
10,46,517,31,341,20C,DB
12,21,418,31,341,20C,DB
14,21,335,31,341,20C,DB
1,43,707,31,342,20C,DB
3,37,671,31,342,20C,DB
5,31,658,31,342,20C,DB
7,35,639,31,342,20C,DB
10,46,596,31,342,20C,DB
12,21,412,31,342,20C,DB
14,21,407,31,342,20C,DB
1,43,811,31,343,20C,DB
3,37,734,31,343,20C,DB
5,31,689,31,343,20C,DB
7,35,649,31,343,20C,DB
10,46,643,31,343,20C,DB
12,21,465,31,343,20C,DB
14,21,293,31,343,20C,DB
1,43,718,31,344,20C,DB
3,37,708,31,344,20C,DB
5,31,668,31,344,20C,DB
7,35,649,31,344,20C,DB
10,46,618,31,344,20C,DB
12,21,368,31,344,20C,DB
14,21,326,31,344,20C,DB
1,43,875,31,345,20C,DB
3,37,734,31,345,20C,DB
5,31,594,31,345,20C,DB
7,35,549,31,345,20C,DB
10,46,530,31,345,20C,DB
12,21,352,31,345,20C,DB
14,21,338,31,345,20C,DB
1,43,812,31,346,20C,DB
3,37,758,31,346,20C,DB
5,31,663,31,346,20C,DB
7,35,637,31,346,20C,DB
10,46,610,31,346,20C,DB
